Location,Address,City,STATE,Zip,Manufacturer,Year Built
Florida Atlantic University,777 Glades Rd/Kitchen,Boca Raton,FL,33431,Columbia,1988
Miami Edison Senior High,6161 Nw 5Th Ct/Field House Blrm,Miami,FL,33127,Cleaver Brooks,1988
Earlington Heights Elementary,4750 Nw 22 Av/Earlington Hgts,Miami,FL,33142,Aldrich,1988
Florida Atlantic University,777 Glades/Field House/Rm 26,Boca Raton,FL,33431,Teledyne Laars,1988
James S Hunt Elementary,7800 Nw 35Th Ct/Kitchen,Coral Springs,FL,33065,Cleveland Range,1988
Crystal Lake Community Middle School,3551 Ne 3 Ave/Kitchen,Pompano Beach,FL,33064,Garland,1988
Crystal Lake Middle School,3551 Ne 3Rd Ave,Pompano Beach,FL,33064,Garland,1988
St Anne'S Nursing Home,11855 Quail Roost Drive/Blr Rm,Miami,FL,33177,Lochinvar Corporation,1988
St. Anne'S Nursing Home,11855 Quail Roost Dr/Blrm,Miami,FL,33177,Lochinvar Corporation,1988
S Dade Nursing Home,11855 Quail Roost Drive/Blr Rm,Miami,FL,33177,Lochinvar Corporation,1988
St. Anne'S Nursing Home,11855 Quail Roost Dr/Blr Rm,Miami,FL,33177,Lochinvar Corporation,1988
The Club At Naples Cay,50 Seagate Dr/Bldg 40 Roof,Naples,FL,34103,Ajax Boiler,1988
Clewiston High,1501 S Francisco St/Blrm,Clewiston,FL,33440,Bryan,1988
Lake Placid Middle School,201 S Tangerine/Gym/Lk Placid Ms,Lake Placid,FL,33852,Lochinvar Corporation,1988
Lake Como Elementary,901 South Bumby/Blr Rm,Orlando,FL,32806,Teledyne Laars,1988
Brookshire Elementary,400 Greene Dr/Kit/Brookshire Ele,Orlando,FL,32792,"Market Forge Industries, Inc.",1988
Princeton Elementary School,311 West Princeton Street,Orlando,FL,32804,Raypak(3'02),1988
Kilarney Elementary School,2401 Wellington Blvd,Orlando,FL,32812,"Market Forge Industries, Inc.",1988
Lake Weston Elementary School,5500 Milan Dr/Lake Weston Es,Orlando,FL,32810,Raypak,1988
Lockhardt Elementary,7500 Edgewater/Lockhardt Es,Orlando,FL,32810,Weil Mclain,1988
Lockhardt Elementary,7500 Edgewater/Lockhardt Es,Orlando,FL,32810,Teledyne Laars,1988
Lockhardt Middle School/Kitchen,3411 Doctor Love Road,Orlando,FL,32810,Cleveland Range,1988
Clarion Inn Altamonte Springs,230 W Highway 436/Blrm 4Th Fl,Altamonte Springs,FL,32714,Raypak,1988
Tidenville Elementary,1221 Brick Rd/Tidenville El/Kit,Winter Garden,FL,34787,Cleveland Range,1988
Rodney B Cox Elementary/Kitchen,201 Main Avenue,Dade City,FL,33525,Ruud,1988
Northwest Elementary,14302 Cobra Way/E.S.E. Blrm,Hudson,FL,34669,Bryan,1988
Seminole Springs Elementary,26200 Huff Rd/Seminole Sprgs Es,Eustis,FL,32726,Lochinvar Corporation,1988
Fsu Lake Bradford Nursery,Menden Hall Bldg/Safety Dept,Tallahassee,FL,32306,Veit. Inc,1988
Marion Correctional Institute,3269 Nw 105 St/G Dorm/Marion Ci,Ocala,FL,34475,Aldrich,1988
Dept Of Children & Families,1621 Ne Waldo Rd/Unit12,Gainesville,FL,32609,Weil Mclain,1988
Union Correctional,Sr Hwy 16 W/B Dorm/Union Ci,Raiford,FL,32083,Pvi Industries,1988
Union Correctional,Sr Hwy 16 W/C Dorm/Union Ci,Raiford,FL,32083,Pvi Industries,1988
Hidden Oaks Elementary,9205 Nw 23 Ave/Blr Rm,Gainesville,FL,32606,Cleveland Range,1988
Clay High School,2025 Hwy 16 W/Kit/Clay Hs,Green Cove Springs,FL,32043,"Market Forge Industries, Inc.",1988
Clay High School,2025 Hwy 16 W/Kit/Clay Hs,Green Cove Springs,FL,32043,"Market Forge Industries, Inc.",1988
Seven Springs Elementary,8025 Mitchell Ranch Rd/Kitchen,New Port Richey,FL,34655,Vulcan Hart,1988
Sanders Memorial Elementary,5126 School Rd /Kit/Sanders Mem Es,Land O Lakes,FL,34639,Garland,1988
Apalachee Correctional,35 Apalachee Dr/W Med Unit/Apalachee Ci,Sneads,FL,32460,Weil Mclain,1988
Twin Towers,2600 Blairstone/Twin Twrs/Blrm,Tallahassee,FL,32399,Burnham,1988
Old Courthouse,223 Palafox Pl/Chiller Blrm,Pensacola,FL,32502,Weil Mclain,1988
Bayview Senior Citizens Center/Blr Rm,2000 East Lloyd Street,Pensacola,FL,32521,Rite,1988
Doubletree Guest Suites,2670 E Sunrise/Blr Rm,Ft Lauderdale,FL,33304,Raypak,1988
Doubletree Guest Suites,2670 E Sunrise/Blr Rm,Ft Lauderdale,FL,33304,Raypak,1988
Fisherman'S Hospital,3301 Overseas Hwy/Main Blr Rm,Marathon,FL,33050,Raypak,1988
Ymca Of Broward County/Blr Pool,512 N.E. 5 Street,Ft. Lauderdale,FL,33301,Teledyne Laars,1988
Phillips Seafood Restaurant,1301 Belvedere/Kitchen,West Palm Beach,FL,33405,Cleveland Range,1988
Fairhavens Center,201 Curtiss Parkway /Laundry,Miami Springs,FL,33166,A O Smith Water Products Co,1988
Bonaventure Golf Course,200 Bonaventure Blvd/Blr Rm,Ft Lauderdale,FL,33326,Lochinvar Corporation,1988
Ft Walton Beach Medical Center,1000 Mar-Walt Dr/L&D Mechanical,Ft Walton,FL,32547,Bryan,1988
Ft Walton Beach Med Center,1000 Mar-Walt Dr/L&D Mechanical,Ft Walton,FL,32547,Bryan,1988
Doubletree Hotel,2305 Hotel Plaza/Blr Rm,Lake Buena Vista,FL,32830,Raypak,1988
Doubletree Hotel,2305 Hotel Plaza/Blr Rm,Lake Buena Vista,FL,32830,Raypak,1988
Doubletree Hotel,2305 Hotel Plaza/Blr Rm,Lake Buena Vista,FL,32830,Raypak,1988
University Of North Florida,4567 St Johns Bluff Rd S/Z Bldg,Jacksonville,FL,32224,Cleaver Brooks,1988
Westminister Oaks,4449 Meandering Way/Blr Rm,Tallahassee,FL,32308,Fulton,1988
Westminister Oaks,4449 Meandering Way/Blrm,Tallahassee,FL,32308,Fulton,1988
Sheraton Suites,7550 Augusta National Dr,Orlando,FL,32822,Raypak,1988
Marion Correctional/Work Camp,3269 Nw 105Th St/Wc Kit/Marion,Ocala,FL,34475,A O Smith Water Products Co,1988
State Of Fl-Turlington Building,325 W Gaines St/Turlington Blrm,Tallahassee,FL,32301,Hurst,1988
Fl Department Of Law Enforcement,2331 Phillips Rd/Blrm/Fdle,Tallahassee,FL,32302,Weil Mclain,1988
Fccj Capper Campus,4501 Capper/Bldg E 201,Jacksonville,FL,32218,Weil Mclain,1988
Fccj Capper Campus,4501 Capper/Bldg E 201,Jacksonville,FL,32218,Weil Mclain,1988
Piccadilly Cafeteria,4320 S Florida Ave/Kit/Lakeland,Lakeland,FL,33813,Cleveland Range,1988
Charlotte Corrections/Don Brandt,33123 Oil Well Road/E Support Bldg,Punta Gorda,FL,33955,Teledyne Laars,1988
South Florida Community College,100 W College Dr/Bldg D/Engineering,Avon Park,FL,33825,Aldrich,1988
Westport Sr Living - University Village,12401 N. 22Nd St/C-D Blrm W,Tampa,FL,33612,Raypak,1988
Westport Sr Living - University Village,12401 N. 22Nd St/A-B Blrm,Tampa,FL,33612,Raypak,1988
Seminole Springs Elementary,26200 Huff Rd/Seminole Sprgs Es,Eustis,FL,32726,Lochinvar Corporation,1988
Gladys Morse Elementary/Dennis Fike,800 Ash St/Kitchen/Engineering,Perry,FL,32347,"Market Forge Industries, Inc.",1988
Baseball Stadium/Stadium Blr Rm,800 Park Rd/Engineering,Plant City,FL,33566,Pvi Industries,1988
Super 8 Motel,1850 Landstreet/Blrm,Orlando,FL,32809,A O Smith Water Products Co,1988
Super 8 Motel,1850 Landstreet/Blrm,Orlando,FL,32809,A O Smith Water Products Co,1988
Publix Store #379,3385 Highway 17/92 Bakery,Cassleberry,FL,32707,Electro Steam,1988
Disney Mgm Studios,Po Box 10000/Brown Derby/Mgm,Lake Buena Vista,FL,32830,Bryan,1988
Central Florida Reception,7000 H C Kelley Rd/N End/Cnt Fl Rcptn Cr,Orlando,FL,32831,Burnham,1988
Wellness Center,2005 Mizell Ave,Winter Park,FL,32792,A O Smith Water Products Co,1988
Liberty Correctional,Cr 1641/Liberty Ci/A Dorm,Bristol,FL,32321,A O Smith Water Products Co,1988
Liberty Correctional,Cr 1641/Liberty Ci/B Dorm,Bristol,FL,32321,A O Smith Water Products Co,1988
Liberty Correctional,Cr 1641/Liberty Ci/D Dorm,Bristol,FL,32321,A O Smith Water Products Co,1988
Liberty Correctional,Cr 1641/Liberty Ci/E Dorm,Bristol,FL,32321,A O Smith Water Products Co,1988
Liberty Correctional,Cr 1641/Liberty Ci/F Dorm,Bristol,FL,32321,A O Smith Water Products Co,1988
Liberty Correctional,Cr 1641/Liberty Ci/Dorm G,Bristol,FL,32321,A O Smith Water Products Co,1988
Liberty Correctional,Cr 1641/Liberty Ci/H Dorm,Bristol,FL,32321,A O Smith Water Products Co,1988
Calhoun Correctional Institute,Rt 2 Box 1/C Dorm,Blountstown,FL,32424,A O Smith Water Products Co,1988
Calhoun Correctional,Cr 69 S/D Dorm/Calhoun Ci,Blountstown,FL,32424,A O Smith Water Products Co,1988
Amway  Arena/Ice Plant,600 West Amelia,Orlando,FL,32801,Cleaver Brooks,1988
Crossroads Univ Behavioral Ctr,2500 Discovery Blvd/Blrm,Orlando,FL,32826,Lochinvar Corporation,1988
Crossroads Univ Behavioral Ctr,2500 Discoveryblvd/Blrm,Orlando,FL,32826,Lochinvar Corporation,1988
Crossroads Univ Behavioral Ctr,2500 Discovery Blvd/Blrm,Orlando,FL,32826,Lochinvar Corporation,1988
Crossroads Univ Behavioral Ctr,2500 Discovery Blvd/Blrm,Orlando,FL,32826,Lochinvar Corporation,1988
Lake Placid Medical Center,1210 Hwy 27/Mech Rm Ground Flr,Lake Placid,FL,33582,Lochinvar Corporation,1988
Florida Hospital  Medical Center,2520 N Orange Ave/Blr Rm,Orlando,FL,32812,Kewanee,1988
West Palm Courtyard,600 Northpoint Pkwy/Blr Rm,West Palm Beach,FL,33407,Raypak,1988
Marriott West Palm Courtyard,600 Northpoint Pkwy/Blr Rm,West Palm Beach,FL,33407,Raypak,1988
Ft Lauderdale  Marriott North,6650 N Andrews Avenue/Blrm,Ft Lauderdale,FL,33309,Ray Pak,1988
Renaissance Marriott,6650 N Andrews Avenue/Blr Rm,Fort Lauderdale,FL,33309,Raypak,1988
Publix Store #8,40968 Hwy 19 N/Bakery,Tarpon Springs,FL,33589,Electro Steam,1988
Marriott At Sawgrass,1000 Pga Tour Blvd/Blr Rm,Ponte Vedra Beach,FL,32082,Raypak,1988
Marriott At Sawgrass,1000 Pga Tour Blvd/Blr Rm,Ponte Vedra Beach,FL,32082,Raypak,1988
Marriott At Sawgrass,1000 Pga Tour Blvd/Blrm/Engin,Ponte Vedra Beach,FL,32082,Raypak,1988
Marriott At Sawgrass,1000 Pga Tour Blvd/Blr Rm,Ponte Vedra Beach,FL,32082,Raypak(Due 5'4'2#305),1988
Marriott  Orlando Int'L Courtyard,7155 Frontage/Blr Rm,Orlando,FL,32812,A O Smith Water Products Co,1988
Marriott  Orlando Int'L Courtyard,7155 Frontage Rd/Blr Rm,Orlando,FL,32812,A O Smith Water Products Co,1988
Marriott Courtyard,7155 N Frontage/Blr Rm,Orlando,FL,32812,Pvi Industries,1988
Cypress Creek Marriott,6650 N Andrews Avenue/Blr Rm,Ft Lauderdale,FL,33309,Raypak,1988
Fletcher High #223,700 Seagate Ave/Cafe Blrm/#223,Neptune Beach,FL,32266,Hurst,1988
Realty Corp/Pioneer Properties,112 W Adams St/Basement,Jacksonville,FL,32203,Weil Mclain,1988
Realty Corp/First Pioneer Properties,112 W Adams St/Blr Rm,Jacksonville,FL,32203,Weil Mclain,1988
Bank Of America,9000 Southside Blvd/500 Bldg,Jacksonville,FL,32256,A O Smith Water Products Co,1988
Bank Of America,9000 Southside Blvd/500 Bldg,Jacksonville,FL,32256,A O Smith Water Products Co,1988
Barnett Bank/Sam Morris,9000 Southside Boulevard,Jacksonville,FL,32256,A O Smith Water Products Co,1988
Bank Of America,9000 Southside Blvd/300 Bldg,Jacksonville,FL,32256,A O Smith Water Products Co,1988
Bank Of America,9000 Southside Blvd/200 Bldg,Jacksonville,FL,32256,A O Smith Water Products Co,1988
Bank Of America,9000 Southside Blvd/100 Bldg,Jacksonville,FL,32256,A O Smith Water Products Co,1988
Bank Of America,9000 Southside Blvd/100 Bldg,Jacksonville,FL,32256,A O Smith Water Products Co,1988
Bank Of America,9000 Southside Blvd/700 Bldg,Jacksonville,FL,32256,A O Smith Water Products Co,1988
Specialty Care Tampa,12220 Bruce B Downs/Specialty Care,Tampa,FL,33612,Pvi,1988
Speciality Care Tampa,12220 Bruce B Downs Blvd/Blrm,Tampa,FL,33612,Pvi Industries,1988
Aaa Auto Club South,540 Brent Lane/Outside,Pensacola,FL,32503,Raypak,1988
Wewahitchka Elementary,541 E River Rd/ Gym,Wewahitchika,FL,32465,Hydrotherm(12'01#333),1988
Ponce De Leon High School,1477 Ammons Rd/Kit/Ponce De Leon Hs,Popilar,FL,32455,Pvi Industries,1988
Ponce De Leon High School,1477 Ammons Rd/Kitchen,Ponce De Leon,FL,32455,"Market Forge Industries, Inc.",1988
Ponce De Leon High School,1477 Ammons Rd/Gym/Ponce De Leon Hs,Popilar,FL,32455,Pvi Industries,1988
Walton County Vo-Tech,761 N 20 Th St/Walton Co Vo-Tech,Defuniak Springs,FL,32433,Peerless,1988
Embry Riddle Aeronautical University,600 S Clyde Morris Blvd/Library,Daytona Beach,FL,32114,Lochinvar Corporation,1988
Animal Control Center,28123 Frankies/Blrm/Animal Cont,Tavares,FL,32778,Teledyne Laars,1988
Old County Courthouse,315 West Main Street Bldg B,Tavares,FL,32778,Teledyne-Laars,1988
Old County Courthouse Bldg. B,315 West Main Street,Tavares,FL,32778,Teledyne Laars,1988
St. Michael'S Episcopal Church,2501 N Westmoreland Drive,Orlando,FL,32804,Mt Hawley,1988
Apalachee Center For Human Services,2634 Capital Circle Ne/Blr Rm,Tallahassee,FL,32302,H B Smith,1988
Jail Support,850 Camp Road/Blr Rm,Titusville,FL,32780,Ruud,1988
The Crossings,4445 Pine Forest Drive/Mech Rm,Lake Worth,FL,33463,Teledyne Laars,1988
City Of Jacksonville - Beach Library,603 Third Street/Blrm/Beaches Library,Neptune Beach,FL,32266,Weil Mclain,1988
Life Stream Behavioral Center,2020 W Tally Rd/Blr Rm,Leesburg,FL,34748,Bryan,1988
Harbor Federal Savings And Loan,113-117 Orange Avenue/Mech. Rm.,Ft. Pierce,FL,33450,Peerless,1988
Trafalgar Middle School,2120 Trafalgar Pky/Trafalgar Ms/Mn Blrm,Cape Coral,FL,33991,Patterson Kelly,1988
Trafalgar Middle School,2120 Trafalgar Pky/Trafalgar Ms,Cape Coral,FL,33991,Patterson Kelly,1988
Trafalgar Middle School,2120 Trafalgar Pky/Trafalgar Ms,Cape Coral,FL,33991,Patterson Kelly,1988
Lake Sumter Community College,9501 Us Highway 441/Bldg 6 Gym,Leesburg,FL,34788,Weil Mclain,1988
Roosevelt Elementary/Maintenance Ii,3245 Ferdinand Ave/Blr Rm Kitchen,Tampa,FL,33629,Columbia,1988
Anderson Elementary/Gary Bailey,3910 Fair Oaks Ave/Kitchen,Tampa,FL,33611,"Market Forge Industries, Inc.",1988
Embassy Suites,950 Se 20Th Avenue/Blrm,Deerfield Beach,FL,33441,Teledyne Laars,1988
Indian River Community College,3209 Virginia Ave/Pool Blr Rm,Ft Pierce,FL,33450,Teledyne Laars,1988
David Posnack Jewish Community Center,5850 Pine Island/Blr Rm,Davie,FL,33328,Lochinvar Corporation,1988
The Regency Residence,5600 Lakeside/Blr Rm,Margate,FL,33063,Raypak,1988
Lecanto High School,3810 W Education Path/Kitchen,Lecanto,FL,34461,Cleveland Range,1988
"Gulf Host Resorts, Inc.",36750 Us 19/Kitchen,Palm Harbor,FL,34684,Cleveland Range,1988
Citrus Memorial Hospital,502 W Highland/Yard,Inverness,FL,34452,Raypak,1988
"Gulf Host Resorts, Inc.",36750 Us 19 N/Carnelan Center,Palm Harbor,FL,34684,Pvi(11'27'02#11 Due),1988
Seventy Fourth St Elementary,3801 74Th St N/Blr Rm,St. Petersburg,FL,33709,Raypak,1988
Imperial Swan Hotel & Suites,4141 S Florida Avenue/Mech Rm,Lakeland,FL,33813,Teledyne Laars,1988
Imperial Swan Hotel & Suites,4141 S Florida Avenue/Blrm,Lakeland,FL,33813,Teledyne Laars,1988
Hillsborough Co. School Board,901 E Kennedy Blvd,Tampa,FL,33602,Cleveland Range,1988
Daytona Beach Community College,1155 Cr 4139/Physical Plt,Deland,FL,32724,H B Smith,1988
North Florida Community College,1000 Turner Davis/Admin,Madison,FL,32340,Teledyne Laars,1988
Florida Farm Bureau,5700 Sw 34 St/Blr Rm,Gainesville,FL,32608,Cleaver Brooks,1988
Best Western,4660 Salisbury Rd/Blr Rm,Jacksonville,FL,32256,Jarco,1988
Best Western,4660 Salisbury/Blr Rm,Jacksonville,FL,32256,Weben Jarco,1988
Tallahassee Regional Airport,3230 Capital Cir Sw/Blr Rm,Tallahassee,FL,32310,Hurst,1988
Baker High,One Wildcat Lane/Baker Hs,Glen St Mary,FL,32040,Burnham,1988
Baker High School,1 Wildcat Ln/Baker Co Hs/Kit,Glen St Mary,FL,32040,"Market Forge Industries, Inc.",1988
Baker County High School,1 Wildcat Lane/Baker Co Hs,Glen St Mary,FL,32040,A O Smith Water Products Co,1988
Baker High School,1 Wildcat Lane/Baker Hs/Gym,Glen St Mary,FL,32040,A O Smith Water Products Co,1988
Piccadilly Cafeteria/Blr Rm,1190 Sw 67Th Ave,Miami,FL,33144,Pvi Industries,1988
Fountainbleau Hotel,4360 Collins Ave/Blr Rm,Miami Beach,FL,33140,Teledyne Laars,1988
Fairmont Turnberry Isle Resort & Club,19999 W Country Club Dr/Kitchen,Aventura,FL,33180,Lochinvar Corporation,1988
Turnberry Isle Resort & Club,19999 W Country Club Dr/Blr Rm,Aventura,FL,33180,A O Smith Water Products Co,1988
Miami Dade Community College,11380 Nw 27 Av/Miami Dade/Bldg 500 Rm507,Miami,FL,33167,Bryan,1988
Greater Miami Jewish Federation,757 West Ave/Roof,Miami,FL,33139,Lochinvar Corporation,1988
Pleasant Hill Elementary,1253 Pleasant Hill/Pleasant Hill,Kissimmee,FL,34743,Lochinvar Corporation,1988
Pleasant Hill Elementary,1253 Pleasant Hill/Pleasant Hill,Kissimmee,FL,34743,Lochinvar Corporation,1988
Pleasant Hill Elementary,1253 Pleasant Hill/Pleasant Hill Es,Kissimmee,FL,34743,Lochinvar Corporation,1988
Ventura Elementary,275 Moreland/Mech Rm/Ventura Es,Kissimmee,FL,34743,A O Smith Water Products Co,1988
Ventura Elementary,275 Moreland Blvd/Ventura Es,Kissimmee,FL,34743,Patterson Kelly,1988
Ventura Elementary,275 Moreland Blvd/Ventura Es,Kissimmee,FL,34743,Patterson Kelly,1988
Spruce Creek Elementary School,642 Taylor Rd/Mech Area,Port Orange,FL,32129,"Market Forge Industries, Inc.",1988
Spruce Creek Elementary,642 Taylor Rd/Blrm/Spruce Creek Ele,Port Orange,FL,32127,A O Smith Water Products Co,1988
Stentstrom Elementary,1800 Alafaya Woods/Kit/Stentstrom Ele,Oveido,FL,32765,Garland,1988
Oviedo High,601 King St/Blrm/Oviedo Hs,Oviedo,FL,32765,Lochinvar Corporation,1988
Winter Springs Elementary,701 W Sr 434/Kitchen,Winter Springs,FL,32708,Vulcan Hart,1988
Milwee Middle School/Kitchen,1341 County Road South 427,Longwood,FL,32750,"Market Forge Industries, Inc.",1988
Lake Orienta Elementary,612 Newport Ave/Kit/Lk Orienta Ele,Altamonte Springs,FL,32701,Vulcan Hart,1988
Woodville Elementary,9373 Woodville/Woodville Es,Woodville,FL,32362,Weil Mclain,1988
Desota Trail Elementary,2930 Velda Dairy/Desota Trail Es,Tallahassee,FL,32308,Raypak,1988
Godby High School,1717 W Tharpe St/Blrm/Godby Hs,Tallahassee,FL,32303,Sellers,1988
Godby High School,1717 W Tharpe St/Blrm/Godby Hs,Tallahassee,FL,32303,Sellers,1988
Wilson Elementary,985 Orange Blvd/Kitchen,Sanford,FL,32771,Vulcan Hart,1988
Sabel Point Elementary,960 Wekiva Springs Rd/Kit/Sabel Pt Ele,Longwood,FL,32750,Vulcan Hart,1988
Forest City Elementary,1100 Sand Lake Rd/Kit/Forest City Ele,Altamonte Springs,FL,32714,Vulcan Hart,1988
Osceola Cty Criminal Justice Facility,402 Simpson Road/Work Release Ctr,Kissimmee,FL,34743,Weben Jarco,1988
Golden Terrace Elementary/2-109,2711 44Th Terrace Sw,Naples,FL,34116,Cleveland Range,1988
Fontainbleau Hilton Hotel,4360 Collins Avenue/Pool Heater,Miami Beach,FL,33148,Teledyne Laars,1988
Bank Of America Tower,100 Se 2Nd Street #1210/10Th Flr,Miami,FL,33131,Pvi,1988
Jupiter High/N Campus,500 N Military/Blr Rm,Jupiter,FL,33458,Teledyne Laars,1988
Lighthouse Elementary/Kitchen,155 Lane N/(O/D 6'98),Jupiter,FL,33458,Cleveland Range,1988
Sandpiper Shores Elementary School,11201 Glades Rd/Blr Rm,Boca Raton,FL,33498,Lochinvar Corporation,1988
Banyan Creek Elementary/Engineering,4243 Sabal Lake Rd/Kitchen,Delray Beach,FL,33445,Cleveland Range,1988
Banyan Creek Elementary,4243 Sabal Lake Rd/Mech Rm,Delray Beach,FL,33445,Lochinvar Corporation,1988
The Waterford,8333 W Okeechobee Rd/Fl 3 Blrm,Hialeah,FL,33016,Lochinvar Corporation,1988
The Waterford,8333 W Okeechobee Rd/Fl 3 Blrm,Hialeah,FL,33016,Lochinvar Corporation,1988
Ft Mccoy School K-8,1 Cougar Ct/Kit/Ft Mccoy K-8,Fort Mccoy,FL,32134,"Market Forge Industries, Inc.",1988
Pinellas County Jail,14400 49Th St N/Women'S Jail,Clearwater,FL,33762,Patterson Kelly,1988
Women'S Jail,5100 144Th St N/Blr Rm,Clearwater,FL,33762,Patterson Kelly,1988
Exchange Building,201 S Monroe St/Bsmt,Tallahassee,FL,32301,Teledyne Laars,1988
Courtyard By Marriott,3712 Sw 38Th Ave/Blr Rm,Ocala,FL,34474,Lochinvar Corporation,1988
Courtyard By Marriottm,3712 Sw 38 Ave/Machine Rm,Ocala,FL,34474,Lochinvar Corporation,1988
Gregory Drive Elementary,7800 Gregory/Blr Rm,Jacksonville,FL,32210,Cleaver Brooks,1988
Forest High School,5530 Firestone/Forest Hs,Jacksonville,FL,32210,Industrial Boiler,1988
Broward County Stockade,5400 Powerline Road/Bldg E,Ft Lauderdale,FL,33309,A O Smith Water Products Co,1988
Broward County Stockade,5400 Powerline Road/Bldg E,Ft Lauderdale,FL,33309,A O Smith Water Products Co,1988
Broward County Stockade,5400 Powrline Road/Bldg F,Ft Lauderdale,FL,33309,A O Smith Water Products Co,1988
Broward County Stockade,5400  Powerline Road/Bldg F,Ft Lauderdale,FL,33309,A O Smith Water Products Co,1988
Mgm Studios,Po Box 10000/Post Product/Mgm,Lake Buena Vista,FL,32830,Bryan,1988
Disney Mgm Studios,Po Box 10000/Creative Costume,Lake Buena Vista,FL,32830,Bryan,1988
Disney Mgm Studios,P.O. Box 10000/Grip Stg. Bldg/Mgm,Lake Buena Vista,FL,32830,Bryan,1988
Disney Mgm Studios,Po Box 10000/Superstar Tv/Mgm,Lake Buena Vista,FL,32830,Bryan,1988
Disney Mgm Studios,Po Box 10000/Great Movie Ride,Lake Buena Vista,FL,32830,Lochinvar Corporation,1988
Disney Mgm Studios,Mgm/Oscars,Lake Buena Vista,FL,32830,Lochinvar Corporation,1988
Disney Mgm Studios,Po Box 10000/Guest Services,Lake Buena Vista,FL,32830,Lochinvar Corporation,1988
Memorial Hospital Of Tampa,2901 Swann/2Nd Flr Surgery,Tampa,FL,33605,Pvi Industries,1988
Memorial Hospital Of Tampa,2901 Swann/2Nd Flr Surgery,Tampa,FL,33605,Pvi Industries,1988
Radisson On Sand Key,1201 Gulf Blvd,Clearwater Beach,FL,33767,Lochinvar Corporation,1988
Radisson Suite Resort,1201 Gulf Blvd/Pool,Clearwater,FL,33767,Lochinvar Corporation,1988
Atlantic Cafe/Dry Storage Rm,Palm Beach International Airport,West Palm Beach,FL,33402,Lochinvar Corporation,1988
Piccadilly'S Cafeteria,3300 Pace/Blr Rm,Pensacola,FL,32505,A O Smith Water Products Co,1988
Nationwide Mutual Insurance,3300 Williston Rd/Kitchen,Gainesville,FL,32608,Vulcan Hart,1988
Marriott Plantation Courtyard,7780 Sw 6Th Street/Blr Rm,Plantation,FL,33324,Teledyne Laars,1988
Marriott Plantation Courtyard,7780 Sw 6Th Street/Blr Rm,Plantation,FL,33324,Teledyne Laars,1988
First Baptist Church Of Tlh,108 W College/Main Blr Rm,Tallahassee,FL,32301,Patterson Kelly,1988
Peabody Auditorium,600 Auditorium Blvd/Blr Rm,Daytona Beach,FL,32118,H B Smith,1988
Peabody Auditorium,600 Auditorium Blvd/Blr Rm,Daytona Beach,FL,32118,H B Smith,1988
Peabody Auditorium,600 Auditorium Blvd/Blr Rm,Daytona Beach,FL,32118,H B Smith,1988
City Municipal Stadium,3777 W 11 St/Blr Rm,Daytona Beach,FL,32115,Reco,1988
City Municipal Stadium,3777 W 11 St/Blr Rm,Daytona Beach,FL,32115,Reco,1988
Galaxy Middle School,2440 Eustace Ave/Blr Rm,Deltona,FL,32725,Lochinvar Corporation,1988
Masonic Home Of Florida,3201 1St/Blr Rm,St Petersburg,FL,33704,Teledyne Laars,1988
Masonic Home Of Florida,3201 1St/Blr Rm,St Petersburg,FL,33704,Kewanee,1988
Disney Village Resorts/Studio North,P.O. Box 10000,Lake Buena Vista,FL,32830,Cleveland Range,1988
Publix Store #0068,535 Tamiami Trail South,Venice,FL,33595,Electro Steam,1988
Bethune-Cookman College,165 Lincoln St/Thompson Hall,Daytona Beach,FL,32114,Ruud,1988
Signature Health Care,Sw 4000 20Th Ave,Gainesville,FL,32607,A O Smith Water Products Co,1988
Disney Carribean Beach Resort,Po Box 10000/3800 Trinidad,Lake Buena Vista,FL,32830,Pvi Industries,1988
Disney Carribean Beach Resort,Po Box 10000/4400 Jamaica,Lake Buena Vista,FL,32830,Pvi Industries,1988
Disney Carribean Beach Resort,Po Box 10000/4500 Jamaica,Lake Buena Vista,FL,32830,Pvi Industries,1988
Disney Carribean Beach Resort,Po Box 10000/4600 Jamaica,Lake Buena Vista,FL,32830,Pvi Industries,1988
Disney Carribean Beach Resort,Po Box 10000/5100 Aruba,Lake Buena Vista,FL,32830,Pvi,1988
Disney Carribean Beach Resort,Po Box 10000/5200 Aruba,Lake Buena Vista,FL,32830,Pvi Industries,1988
Disney Carribean Beach Resort,P. O. Box 10000/5300 Aruba,Lake Buena Vista,FL,32830,Pvi Industries,1988
Disney Carribean Beach Resort,P. O. Box 10000/5500 Aruba,Lake Buena Vista,FL,32830,Pvi,1988
Disney Carribean Beach Resort,Po Box 10000/5600 Aruba,Lake Buena Vista,FL,32830,Pvi,1988
Shades Of Green,1950 W Magnolia Palm Dr/Pool Area,Lake Buena Vista,FL,32830,Raypak,1988
Shades Of Green/Evergreens Blr Rm,1950 W. Magnolia Palm Drive,Lake Buena Vista,FL,32830,Lochinvar Corporation,1988
Metrowest Elementary,1801 Lake Vitma Dr/Metrowest Es,Orlando,FL,32835,Lochinvar Corporation,1988
Ocoee Middle School,300 S Bluford/Ocoee Ms/Gym,Ocoee,FL,34761,Lochinvar Corporation,1988
Ocoee Middle School,300 S Bluford/Ocoee Ms,Ocoee,FL,34761,Lochinvar Corporation,1988
Ocoee Middle School,300 S Bluford/Ocoee Ms/Gym,Ocoee,FL,34761,Lochinvar Corporation,1988
