Location,Address,City,STATE,Zip,Manufacturer,Year Built
Oak Grove Elementary,15640 N. E. 8 Avenue/Blr Rm,Miami,FL,33162,B.E.&S. Co,1958
Jefferson Middle School,525 Nw 147 St/Jefferson Mid/Blrm,Miami,FL,33168,B.E. & S Co,1958
Mcnab Elementary School,1350 Se 9Th Ave/Blrm,Pompano Beach,FL,33060,Continental,1958
N Andrews Garden Elementary,345 Ne 56Th St/Blr Rm,Ft Lauderdale,FL,33334,Continental,1958
Harbordale Elementary,900 Se 15 St/Blrm/Harbordale Ele,Ft Lauderdale,FL,33316,B E & S,1958
Mcarthur High School - Blrm,6501 Hollywood Blvd,Hollywood,FL,33024,York Shipley,1958
Glenridge Middle School,800 Glenridge Way/Blr Rm,Winter Park,FL,32789,National,1958
Robinswood Middle School,6205 Balboa Dr/Robinswood Ms,Orlando,FL,32808,Weil Mclain,1958
Robinswood Middle School,6205 Balboa Dr/Robinswood Ms,Orlando,FL,32808,Weil Mclain,1958
Homestead Middle School,650 Nw 2Nd Ave/Homestead Ms,Homestead,FL,33030,Cleaver Brooks,1958
Cedar Grove Elementary,2826 E 15 Street/Blr Rm,Panama City,FL,32405,York Shipley,1958
Chamberlain Senior High School,9401 North Blvd / Blrm,Tampa,FL,33612,Weil Mclain,1958
Chamberlain Senior High School,9401 North Blvd / Blrm,Tampa,FL,33612,Weil Mclain,1958
Chamberlain Senior High School,9401 North Blvd / Blrm,Tampa,FL,33612,Weil Mclain,1958
Chamberlain Sr High,9401 North Blvd/Blrm,Tampa,FL,33612,Columbia,1958
Just Elementary,1315 Spruce St/Blr Rm,Tampa,FL,33602,Weil Mclain,1958
Sea Park Elementary/Blr Rm,300 Sea Park Blvd,Satellite Beach,FL,32937,Kewanee,1958
Edgewood Jr High School,180 E Merritt Ave/Blr Rm,Merritt Island,FL,32952,Fitzgibbons,1958
Edgewood Jr High School,180 E Merritt Ave/Blr Rm,Merritt Island,FL,32952,Fitzgibbons,1958
Normandy School/Blr Rm,2327 Palmetto Avenue,Mims,FL,32754,Kewanee,1958
Richardson Middle School,100 Pennsylvania/Richardsn Ms,Lake City,FL,32055,Cleaver Brooks,1958
Ft White Elementary,18119 Sr 47/Ft White Es,Ft White,FL,32038,Cleaver Brooks,1958
University Of Miami,Mahoney Hall Dorm/Blrm,Coral Gables,FL,33146,Fitzgibbons,1958
University Of Miami,Mahoney Hall Dormitory/Blrm,Coral Gables,FL,33146,Fitzgibbons,1958
University Of Miami,Mahoney Hall Dormitory,Coral Gables,FL,33146,Fitzgibbons,1958
Suncoast High,600 W 28Th St/Suncoast Hs,Riviera Beach,FL,33404,York Shipley,1958
Suncoast High,600 W 28 St/Gym,Riviera Beach,FL,33404,Rite,1958
Grove Park Elementary,8330 N Military/Blr Rm,Lake Park,FL,33403,Cleaver Brooks,1958
Parkway Middle School,3600 Nw 5 Ct/Blrm,Fort Lauderdale,FL,33311,York Shipley,1958
Whiddon Rogers Middle School/Blr Rm,700 Sw 26Th Street,Ft. Lauderdale,FL,33315,York Shipley,1958
Riviera Middle School,10301 Sw 48Th St/Riviera Ms,Miami,FL,33165,Besco,1958
Old Nations Bank Building/Blr Rm,2001 Siesta Dr/Engineering,Sarasota,FL,34234,Kewanee,1958
Forest Hills High/Engineering,6901 Parker Ave/Blr Rm,West Palm Beach,FL,33405,Continental/B E & S,1958
Hatfields Llc Rug Cleaning/Blr Rm,5301 S Dixie Hwy,West Palm Beach,FL,33405,Kisco,1959
Pompano Beach Institute,1400 Ne 6Th Street/Boiler Room,Pompano Beach,FL,33069,York Shipley,1959
Children & Families Ctr Gulf Coast,5820 Buckingham/Stm Plt 2,Ft Myers,FL,33905,Cleaver Brooks,1959
Children & Families Gulf Coast,5820 Buckingham Road/Stm Pit 1,Ft Myers,FL,33905,Cleaver Brooks,1959
Florida State Prison,Sr 16 Powerhouse/Fl State Prison,Starke,FL,32091,Combustion Eng(2'13'2#12,1959
"Civic Center Complex, Dade Co. Jail",1321 N.W. 13 Street,Miami,FL,33128,Cleaver Brooks,1959
South Gates Apartments,900 West Avenue/Blr Rm,Miami Beach,FL,33139,Power Master,1959
South Gate Apartments,900 West Avenue/Blr Rm,Miami Beach,FL,33139,Power Master,1959
South Miami Hospital,7400 Sw 62Nd Ave,South Miami,FL,33143,B.E.& S. Co,1959
Fontainebleau Resort & Spa,4360 Collins Avenue/Blr Rm,Miami Beach,FL,33140,Cleaver Brooks,1959
Arlington Presbyterian Church,1300 Sprinkle Dr/Center Blr Rm,Jacksonville,FL,32211,Cleaver Brooks,1959
St Patrick'S Church,412 Ne 16 Ave/Blrm/Executive,Gainesville,FL,32601,Aldrich,1959
Faith United Church Of Christ,2401 Drew St/Blr Rm,Clearwater,FL,33765,Weil Mclain,1959
Hialeah Senior High,251 E 47 St/Blrm 3/Hialeah Hs,Hialeah,FL,33013,Atlantic Steel Boiler,1959
Palm Springs Elementary,6304 E 1St Ave/Palm Springs Es,Hialeah,FL,33013,Cleaver Brooks,1959
Pompano Beach Institute & High,1400 Ne 6Th St/Blr Rm,Pompano Beach,FL,33060,York Shipley,1959
